sample_code,fermented_food,substrate,category,study
FOODS2023_SHEEP_MILK_KEFIR_foods2023_sheep_milk_kefir_peptides,sheep_milk_kefir,milk,dairy,FOODS2023_SHEEP_MILK_KEFIR
FOODCHEM2020_COCOA_BEANS_DAY_0-1_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_0-2_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_0-3_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_0-4_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_2-1_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_2-2_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_2-3_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_2-4_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_4-1_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_4-2_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_4-3_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_4-4_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_6-1_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_6-2_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_6-3_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FOODCHEM2020_COCOA_BEANS_DAY_6-4_parsed,cocoa_beans,cocoa_beans,beans,FOODCHEM2020_COCOA_BEANS
FF2021_CHEESEMITES_all_casu_marzu_peptides,cazu_marzu_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_all_mimolette_peptides,mimolette_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_all_stilton_peptides,stilton_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_all_taleggio_peptides,taleggio_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_interior_casu_marzu_peptides,casu_marzu_interior_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_interior_mimolette_peptides,mimolette_interior_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_interior_stilton_peptides,stilton_interior_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_interior_taleggio_peptides,taleggio_interior_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_rind_casu_marzu_peptides,casu_marzu_rind_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_rind_mimolette_peptides,mimolette_rind_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_rind_stilton_peptides,stilton_rind_cheese,milk,dairy,FF2021_CHEESEMITES
FF2021_CHEESEMITES_rind_taleggio_peptides,taleggio_rind_cheese,milk,dairy,FF2021_CHEESEMITES
FOODCHEM2015_KEFIR_GPM22200001207_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001208_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001209_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001210_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001211_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001212_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001213_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001214_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001215_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001216_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001217_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
FOODCHEM2015_KEFIR_GPM22200001218_parsed,kefir,milk,dairy,FOODCHEM2015_KEFIR
MOLECULES2021_DONKEYMILK_molecules2021_donkeymilk_peptides,donkey_milk,milk,dairy,MOLECULES2021_DONKEYMILK
