genome_name	bgc_NRPS	bgc_RiPP-like	bgc_T1PKS	bgc_T3PKS	bgc_bacteriocin	bgc_betalactone	bgc_other	bgc_terpene	smorf	deeppeptide_Peptide	deeppeptide_Propeptide	batch
156	0	1	0	0	0	0	3	1	9	8	19	2025-04-16-batch1
158	0	1	1	0	0	1	4	0	8	25	15	2025-04-16-batch1
160	0	0	0	0	0	0	0	0	8	5	13	2025-04-16-batch1
164	0	0	0	0	0	1	2	0	5	26	35	2025-04-16-batch1
166	0	0	0	1	0	1	5	1	12	22	29	2025-04-16-batch1
169	0	0	0	0	0	1	0	0	5	20	28	2025-04-16-batch1
174	0	1	0	0	0	0	6	1	10	12	19	2025-04-16-batch1
175	0	0	0	0	0	1	2	0	6	12	36	2025-04-16-batch1
176	0	2	0	0	0	0	1	0	4	27	32	2025-04-16-batch1
177	1	0	0	0	0	0	4	1	23	12	31	2025-04-16-batch1
178	0	0	0	1	0	0	3	1	13	12	23	2025-04-16-batch1
179	0	0	0	0	0	1	0	0	6	16	24	2025-04-16-batch1
180	0	0	0	0	0	1	1	0	5	12	20	2025-04-16-batch1
181	0	0	0	0	0	1	0	0	6	41	30	2025-04-16-batch1
182	0	0	0	0	0	1	1	0	5	13	27	2025-04-16-batch1
183	0	0	0	0	0	0	1	1	12	14	17	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C02-19__bin.1	0	2	0	0	0	0	4	0	9	57	40	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C02-19__bin.3	7	3	0	0	0	0	8	0	4	32	27	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C03-18__bin.11	0	0	0	1	0	1	3	1	11	39	22	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C03-18__bin.6	0	0	0	0	0	0	1	0	9	15	13	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C03-19__bin.11	0	0	0	1	0	1	3	1	9	48	31	2025-04-16-batch1
AlvarezOrdonezA_xxxx__C03-19__bin.15	0	1	0	0	0	0	1	0	16	18	21	2025-04-16-batch1
