genbank_accession	isolate	isolation_source	broad_category	completeness	contamination	contigs	total_length	gc	n50	sample_description	fermented_food	specific_substrate	substrate_category	category
GCA_001580535.1	Acetobacter cerevisiae	Beer###beer (ale) in storage	#Beverage	95.57	4.04	157	3088073	58.02	51728	Beer###beer (ale) in storage	beer	barley	grain	fermented_beverages
GCA_011516945.1	Acetobacter estunensis	Apple juice or cider or associated equipment###cider making	#Beverage	95.33	1.56	120	3447365	59.66	75687	Apple juice or cider or associated equipment###cider making	cider	apple	fruit	fermented_beverages
GCA_011516925.1	Acetobacter fabarum	cocoa bean heap fermentation	#Fruit (Seed)	94.13	4.04	68	3084471	57.77	192685	cocoa bean heap fermentation	chocolate	cocoa	fruit	chocolate
GCA_011516865.1	Acetobacter ghanensis	traditional heap fermentation of Ghanaian cocoa beans	#Fruit (Seed)	94.13	2.43	36	2794032	56.91	332815	traditional heap fermentation of Ghanaian cocoa beans	chocolate	cocoa	fruit	chocolate
GCA_011516885.1	Acetobacter lambici	fermenting lambic beer	#Beverage	94.51	5.43	193	3252368	57.17	75608	fermenting lambic beer	beer	barley	grain	fermented_beverages
GCA_000429165.1	Acetobacter nitrogenifigens	Kombucha tea	#Beverage	98.91	0.09	51	4270516	60.45	275560	Kombucha tea	kombucha	sugar	sugar	fermented_beverages
GCA_000964205.1	Acetobacter orleanensis	Belgian bottled beer###beer	#Fruit (Seed)	95.55	3.06	114	2985622	56.47	113168	Belgian bottled beer###beer	beer	barley	grain	fermented_beverages
GCA_000285275.1	Acetobacter pasteurianus	Food, Beer###beer	#Fruit (Seed)	86.85	4.97	141	2982393	53.11	90758	Food, Beer###beer	beer	barley	grain	fermented_beverages
GCA_000310065.1	Acidipropionibacterium acidipropionici	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	#Dairy product	96.23	0.46	1	3656170	68.77	3656170	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	cheese	milk	dairy	fermented_dairy
GCA_000425285.1	Acidipropionibacterium jensenii	Food, Buttermilk###buttermilk	#Dairy product	95.75	0.17	56	3028354	68.66	155416	Food, Buttermilk###buttermilk	buttermilk	milk	dairy	fermented_dairy
GCA_000423445.1	Acidipropionibacterium thoenii	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	#Dairy product	98.44	0.09	45	2938072	67.97	168662	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	cheese	milk	dairy	fermented_dairy
GCA_003325455.1	Acidipropionibacterium virtanenii	finnish malted barley###malted barley	#Fermented	98.3	0	1	3432872	68.36	3432872	finnish malted barley###malted barley	beer	barley	grain	fermented_beverages
GCA_003850045.1	Aeromicrobium camelliae	Ripened Pu'er tea	#Beverage	96.95	1.53	40	3063801	69.35	133037	Ripened Pu'er tea	pu'er tea	tea	plant	fermented_beverages
GCA_000583695.1	Agrilactobacillus composti	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	#Beverage	78.7	4.14	94	3449704	43.94	87613	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	shochu	rice	grain	fermented_beverages
GCA_900163565.1	Agrococcus casei	Food, Sear-ripened cheeses, surfaces###Gubbeen cheese	#Dairy product	98.62	0.66	48	2787318	65.27	135058	Food, Sear-ripened cheeses, surfaces###Gubbeen cheese	cheese	milk	dairy	fermented_dairy
GCA_004134805.1	Agromyces atrinae	From Jeotgal, fermented shellfisg###traditional fermented seafood	#Fermented	80.32	13.83	23	3856763	69.1	347228	From Jeotgal, fermented shellfisg###traditional fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_900109085.1	Alkalibacterium gilvum	mould-ripened, soft cheese (Brie cheese)	#Dairy product	97.59	3.21	94	2181898	36.55	41813	mould-ripened, soft cheese (Brie cheese)	cheese	milk	dairy	fermented_dairy
GCA_018967645.1	Allobacillus halotolerans	food product	#Food	96.94	1.29	95	2726484	39.52	107022	food product	shrimp paste	shrimp	seafood	fermented_seafood
GCA_001281265.1	Apilactobacillus kunkeei	Commercial Cabernet Sauvignon wine###Partially fermented grape juice###commercial grape wine undergoing a sluggish/stuck alcoholic fermentation	#Beverage	97.66	1.31	15	1515289	36.42	250196	Commercial Cabernet Sauvignon wine###Partially fermented grape juice###commercial grape wine undergoing a sluggish/stuck alcoholic fermentation	wine	grape	fruit	fermented_beverages
GCA_002844575.1	Heyndrickxia camelliae	From pu'er tea###a ripened Pu'er tea sample obtained from a manufacturer	#Beverage	98.49	1.46	71	4953494	36.02	180478	From pu'er tea###a ripened Pu'er tea sample obtained from a manufacturer	pu'er tea	tea	plant	fermented_beverages
GCA_001050115.1	Bacillus smithii	Food, Cheese###cheese	#Dairy product	98.67	0.29	2	3381292	40.75	3368778	Food, Cheese###cheese	cheese	milk	dairy	fermented_dairy
GCA_000421665.1	Bavariicoccus seileri	Surface of mature German red smear soft cheese###surface and smear water of smear-ripened soft cheeses	NA	94.96	0.33	109	2242440	38.24	42553	Surface of mature German red smear soft cheese###surface and smear water of smear-ripened soft cheeses	cheese	milk	dairy	fermented_dairy
GCA_000022965.1	Bifidobacterium animalis subsp. lactis	Fermented milk###yoghurt	#Dairy product	99	0.27	1	1938483	60.48	1938483	Fermented milk###yoghurt	yogurt	milk	dairy	fermented_dairy
GCA_002259795.1	Bifidobacterium aquikefiri	Water kefir###A household water kefir fermentation process carried out in 2014	NA	95.22	2.21	18	2408364	52.29	242915	Water kefir###A household water kefir fermentation process carried out in 2014	water kefir	sugar	sugar	fermented_beverages
GCA_000741285.1	Bifidobacterium mongoliense	Airag, a traditional fermented mare's milk product from Mongolia###airag, the Mongolian traditional beverage made of fermented mare's milk	#Beverage	93.39	0.65	42	2170012	62.78	136681	Airag, a traditional fermented mare's milk product from Mongolia###airag, the Mongolian traditional beverage made of fermented mare's milk	airag	milk	dairy	fermented_dairy
GCA_006539005.1	Brevibacterium aurantiacum	Food, Cheese, Camembert###camembert cheese	NA	97.6	3.22	89	4120712	62.79	150419	Food, Cheese, Camembert###camembert cheese	cheese	milk	dairy	fermented_dairy
GCA_900169275.1	Brevibacterium casei	Food, Cheese, Cheddar###cheddar cheese	#Dairy product	97.29	5.8	24	3840753	68.04	616578	Food, Cheese, Cheddar###cheddar cheese	cheese	milk	dairy	fermented_dairy
GCA_007828155.1	Brevibacterium jeotgali	<i>seau-jeot</i> (shrimp jeotgal), a traditional fermented seafood	#Fermented	89.39	4.13	2	3330439	68.23	2609693	<i>seau-jeot</i> (shrimp jeotgal), a traditional fermented seafood	jeotgal	shrimp	seafood	fermented_seafood
GCA_008868375.1	Brevibacterium linens	Food, Cheese, Harzerkase###Dairy product###Cheese,Harzerkäse###harzer cheese	#Dairy product	96.24	3.87	97	3949761	64.77	103745	Food, Cheese, Harzerkase###Dairy product###Cheese,Harzerkäse###harzer cheese	cheese	milk	dairy	fermented_dairy
GCA_000708655.1	Carnobacterium jeotgali	From Korean traditional fermented food###Korean traditional fermented food (jeotgal)###traditional Korean fermented food ""toha jeotgal""	#Fermented	88.84	0.49	107	2349614	35.22	35308	From Korean traditional fermented food###Korean traditional fermented food (jeotgal)###traditional Korean fermented food """"toha jeotgal""""	jeotgal	shrimp	seafood	fermented_seafood
GCA_002943655.1	Chryseobacterium shigense	lactic acid beverage	#Beverage	99.34	0.21	38	4889274	37.47	324632	lactic acid beverage	lactic acid beverage	milk	dairy	fermented_dairy
GCA_002995785.1	Clostridium liquoris	An old fermentation pit###fermentation pit used for the production of Chinese strong-flavoured liquor	#Beverage	98.76	0	75	2876197	30.96	80807	An old fermentation pit###fermentation pit used for the production of Chinese strong-flavoured liquor	baijiu	grains	grains	fermented_beverages
GCA_023656515.1	Clostridium swellfunianum	Pit mud of the <I>Luzhou-flavor</I> liquor manufacturer###pit mud of the Chinese <i>Luzhou-flavor</i> liquor manufacturer	#Beverage	100	4.36	6	4763217	34.29	4747948	Pit mud of the <I>Luzhou-flavor</I> liquor manufacturer###pit mud of the Chinese <i>Luzhou-flavor</i> liquor manufacturer	baijiu	grains	grains	fermented_beverages
GCA_002995795.1	Clostridium thermopalmarium	palm wine	#Plant sap (Flux)	100	0.16	74	2819317	30.98	104048	palm wine	wine	palm sap	other plant based	fermented_beverages
GCA_019144145.1	Clostridium tyrobutyricum	emmental cheese	#Dairy product	99.07	0.78	82	3144217	30.72	98614	emmental cheese	cheese	milk	dairy	fermented_dairy
